Entity,Code,Year,all_Academia,"all_Collaboration, Academia-leaning",all_Collaboration,"all_Collaboration, Industry-leaning",all_Industry
Affiliation,,1950,0,0,0,0,1
Affiliation,,1952,1,0,0,0,0
Affiliation,,1954,1,0,1,0,0
Affiliation,,1955,2,0,0,0,0
Affiliation,,1956,1,0,0,0,0
Affiliation,,1957,0,0,0,0,1
Affiliation,,1959,1,0,0,0,2
Affiliation,,1960,2,0,0,0,0
Affiliation,,1961,2,0,0,0,0
Affiliation,,1962,1,0,0,0,0
Affiliation,,1964,1,0,0,0,0
Affiliation,,1966,1,0,0,0,0
Affiliation,,1968,2,0,0,0,0
Affiliation,,1970,1,0,0,0,0
Affiliation,,1974,0,0,0,0,1
Affiliation,,1975,0,0,0,0,1
Affiliation,,1977,2,0,0,0,0
Affiliation,,1979,1,0,0,0,0
Affiliation,,1980,0,0,0,0,1
Affiliation,,1981,1,0,0,0,0
Affiliation,,1982,1,0,0,0,0
Affiliation,,1983,1,0,0,0,0
Affiliation,,1984,1,0,0,0,1
Affiliation,,1986,4,0,0,0,0
Affiliation,,1987,2,0,0,0,0
Affiliation,,1988,0,0,0,0,1
Affiliation,,1989,4,0,1,0,1
Affiliation,,1990,2,0,0,0,0
Affiliation,,1991,1,0,0,0,0
Affiliation,,1992,2,0,0,0,1
Affiliation,,1993,0,0,0,0,1
Affiliation,,1994,1,0,0,0,0
Affiliation,,1995,1,0,0,0,2
Affiliation,,1996,2,0,0,0,0
Affiliation,,1997,3,0,0,0,1
Affiliation,,1998,1,0,1,1,0
Affiliation,,1999,1,1,0,0,1
Affiliation,,2000,3,0,0,0,0
Affiliation,,2001,1,0,1,0,0
Affiliation,,2002,2,0,1,0,2
Affiliation,,2003,5,0,1,0,1
Affiliation,,2004,1,0,0,0,0
Affiliation,,2005,6,0,0,0,0
Affiliation,,2006,9,0,1,0,0
Affiliation,,2007,4,0,0,0,1
Affiliation,,2008,3,0,2,0,2
Affiliation,,2009,4,1,0,0,1
Affiliation,,2010,11,0,1,0,2
Affiliation,,2011,6,0,2,0,0
Affiliation,,2012,8,0,1,0,0
Affiliation,,2013,13,0,2,0,4
Affiliation,,2014,13,0,5,0,2
Affiliation,,2015,3,1,6,2,13
Affiliation,,2016,12,1,6,2,16
Affiliation,,2017,9,2,5,2,17
Affiliation,,2018,6,0,4,0,7
Affiliation,,2019,2,1,2,0,15
Affiliation,,2020,2,0,1,0,6
Affiliation,,2021,2,0,0,1,15
Affiliation,,2022,0,0,0,1,20
